File Name,Events,Total Entries,Total Exits,Total Writes,Total Reads,Total CFP,LOC,Gate Count,Circuit Width,Qubit Connectivity
SpinQTech_SpinQit\spinqit\qiskit\circuit\library\templates\clifford\clifford_2_4.py,2,4,4,0,0,8,33,2,2,1
SpinQTech_SpinQit\spinqit\qiskit\circuit\library\templates\nct\template_nct_4a_2.py,4,10,10,0,0,20,39,4,4,4
SpinQTech_SpinQKit\spinqkit\qiskit\circuit\library\templates\nct\template_nct_5a_1.py,5,12,12,0,0,24,38,5,3,3
String137_PQC\PQC.py,2,2,2,0,0,4,189,2,1,0
Subhadeep701_QISKIT_DEMOS\VQD.py,2,2,2,0,0,4,218,2,1,0
takkiiiiiiiii_QKD-Research\E91\e91.py,9,1,1,8,0,10,470,1,1,0
TarnMaVas_LA_HHL_project\hhl.py,6,4,4,2,0,10,263,4,1,0
tcNickolas_quantum-programming-in-depth\3_unitary_implementation\qiskit\05_two_qubit_block_diagonal\unitaryimplementation\two_qubit_block_diagonal.py,4,6,6,0,0,12,16,4,2,1
TDLdefA-QUN_Fermi-Hubbard-Classical-Shadow\adapt-vqe-working-example.py,2,2,2,0,0,4,137,2,2,0
timothygao8710_Capybaras-Capstone-Project\.ipynb_checkpoints\Main_Pipeline-checkpoint.py,4,4,4,0,0,8,139,4,1,0
ToolmanInside_qmutplus\pe_04.py,13,18,18,1,0,37,33,12,4,6
ToolmanInside_qmutplus\pe_05.py,19,28,28,1,0,57,39,18,5,10
ToolmanInside_qmutplus\qft_05.py,16,25,25,1,0,51,36,15,5,10
ToolmanInside_qmutplus\rand_cliff_06.py,54,81,81,1,0,163,73,53,6,13
UCL-CCS_TN4QA\tn4qa\quantum_algorithms\variational\vqe.py,1,1,1,0,0,2,261,1,1,0
usamisaori_Shor\shor.py,11,28,28,0,0,56,560,11,8,11
UTokyo-ICEPP_qutrit-experiments\qutrit_experiments\experiments\single_qutrit\ef_t1.py,10,6,6,4,0,16,293,6,2,0
Veriqloud_ubqc_squidasm\circuits_qasm.py,3,3,3,0,0,6,256,3,129,0
werefin_1W-QKD-Quantum-Walks\qer_analysis\qw_circle_hypercube_qkd.py,3,3,3,0,0,6,254,3,1,0
WilhemHarvey_iQuCodeFest2025-Equipe-Compile-moi-si-tu-peux\Day.py,3,3,3,0,0,6,115,3,1,0
x-repos_mines\quan_prog\hw4\grover-sudoku.py,3,8,8,1,0,17,159,2,4,6
xxxiyxh_code-for-IST\Integer Comparator\comparator_defect2.py,3,3,3,0,0,6,507,3,1,0
YonyUk_rsa_analysis_with_shor_algorithm\test\__init__.py,20,64,64,1,0,129,132,19,8,28
Z-928_Bugs4Q\Terra-0-4000\4\buggy.py,5,9,9,0,0,18,13,5,3,3
Z-928_Bugs4Q-Framework\qiskit\18\fixed_18.py,3,3,3,1,0,7,12,2,2,1

TOTAL,1392,1665,1665,305,0,3635,30047,1087,129,295
